Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1_0 pair1	decontaminated hg37dec_v0.1_0 pair2	decontaminated hg37dec_v0.1_1 pair1	decontaminated hg37dec_v0.1_1 pair2	decontaminated hg37dec_v0.1_0 orphan1	decontaminated hg37dec_v0.1_0 orphan2	decontaminated hg37dec_v0.1_1 orphan1	decontaminated hg37dec_v0.1_1 orphan2	final pair1	final pair2	final orphan1	final orphan2
MSM9VZF1	8173049.0	8173049.0	8173049.0	8173049.0	NA	NA	8171238.0	8171238.0	8171238.0	8171238.0	45.0	30.0	45.0	30.0	8171238.0	8171238.0	45.0	30.0
MSM9VZF3	13187214.0	13187214.0	13187214.0	13187214.0	NA	NA	13186572.0	13186572.0	13186572.0	13186572.0	12.0	19.0	12.0	19.0	13186572.0	13186572.0	12.0	19.0
MSM9VZF5	5116705.0	5116705.0	5116705.0	5116705.0	NA	NA	5081007.0	5081007.0	5081007.0	5081007.0	821.0	816.0	821.0	816.0	5081007.0	5081007.0	821.0	816.0
MSM9VZF7	18104999.0	18104999.0	18104999.0	18104999.0	NA	NA	18104891.0	18104891.0	18104891.0	18104891.0	2.0	9.0	2.0	9.0	18104891.0	18104891.0	2.0	9.0
MSM9VZFF	14351787.0	14351787.0	14351787.0	14351787.0	NA	NA	14351597.0	14351597.0	14351597.0	14351597.0	8.0	5.0	8.0	5.0	14351597.0	14351597.0	8.0	5.0
MSM9VZFH	13961826.0	13961826.0	13961826.0	13961826.0	NA	NA	13961613.0	13961613.0	13961613.0	13961613.0	11.0	8.0	11.0	8.0	13961613.0	13961613.0	11.0	8.0
MSM9VZFJ_P	16808508.0	16808508.0	11884840.0	11884840.0	887691.0	1921001.0	11881187.0	11881187.0	11881187.0	11881187.0	886980.0	1920436.0	886980.0	1920436.0	11881187.0	11881187.0	886980.0	1920436.0
MSM9VZFL	11083420.0	11083420.0	11083420.0	11083420.0	NA	NA	11083085.0	11083085.0	11083085.0	11083085.0	10.0	9.0	10.0	9.0	11083085.0	11083085.0	10.0	9.0
MSM9VZFN	10919648.0	10919648.0	10919648.0	10919648.0	NA	NA	10919242.0	10919242.0	10919242.0	10919242.0	10.0	16.0	10.0	16.0	10919242.0	10919242.0	10.0	16.0
MSM9VZFR	14472004.0	14472004.0	14472004.0	14472004.0	NA	NA	14471771.0	14471771.0	14471771.0	14471771.0	2.0	8.0	2.0	8.0	14471771.0	14471771.0	2.0	8.0
MSM9VZFT	10426662.0	10426662.0	10426662.0	10426662.0	NA	NA	10425937.0	10425937.0	10425937.0	10425937.0	13.0	29.0	13.0	29.0	10425937.0	10425937.0	13.0	29.0
MSM9VZGO	11530074.0	11530074.0	11530074.0	11530074.0	NA	NA	11529964.0	11529964.0	11529964.0	11529964.0	6.0	5.0	6.0	5.0	11529964.0	11529964.0	6.0	5.0
MSM9VZGS	8578614.0	8578614.0	8578614.0	8578614.0	NA	NA	8578381.0	8578381.0	8578381.0	8578381.0	8.0	11.0	8.0	11.0	8578381.0	8578381.0	8.0	11.0
MSM9VZGU	10431798.0	10431798.0	10431798.0	10431798.0	NA	NA	10431721.0	10431721.0	10431719.0	10431719.0	3.0	0.0	2.0	0.0	10431719.0	10431719.0	0.0	0.0
MSM9VZGW	11353196.0	11353196.0	11353196.0	11353196.0	NA	NA	11352463.0	11352463.0	11352463.0	11352463.0	63.0	80.0	63.0	80.0	11352463.0	11352463.0	63.0	80.0
MSM9VZGY	5810083.0	5810083.0	5810083.0	5810083.0	NA	NA	5809987.0	5809987.0	5809987.0	5809987.0	8.0	5.0	8.0	5.0	5809987.0	5809987.0	8.0	5.0
MSM9VZH7	6555421.0	6555421.0	6555421.0	6555421.0	NA	NA	6555199.0	6555199.0	6555199.0	6555199.0	7.0	3.0	7.0	3.0	6555199.0	6555199.0	7.0	3.0
MSM9VZHB	12199644.0	12199644.0	12199644.0	12199644.0	NA	NA	12196088.0	12196088.0	12196088.0	12196088.0	96.0	87.0	96.0	87.0	12196088.0	12196088.0	96.0	87.0
MSM9VZHF	9562668.0	9562668.0	9562668.0	9562668.0	NA	NA	9561987.0	9561987.0	9561987.0	9561987.0	8.0	20.0	8.0	20.0	9561987.0	9561987.0	8.0	20.0
MSM9VZHJ	9431824.0	9431824.0	9431824.0	9431824.0	NA	NA	9426442.0	9426442.0	9426442.0	9426442.0	98.0	122.0	98.0	122.0	9426442.0	9426442.0	98.0	122.0
MSM9VZHL	5108685.0	5108685.0	5108685.0	5108685.0	NA	NA	5108652.0	5108652.0	5108645.0	5108645.0	0.0	1.0	7.0	0.0	5108645.0	5108645.0	0.0	0.0
MSM9VZHN	16419699.0	16419699.0	16419699.0	16419699.0	NA	NA	16419575.0	16419575.0	16419575.0	16419575.0	2.0	3.0	2.0	3.0	16419575.0	16419575.0	2.0	3.0
MSM9VZHP	9043675.0	9043675.0	9043675.0	9043675.0	NA	NA	9043481.0	9043481.0	9043481.0	9043481.0	2.0	12.0	2.0	12.0	9043481.0	9043481.0	2.0	12.0
MSM9VZHR	11051935.0	11051935.0	11051935.0	11051935.0	NA	NA	11051150.0	11051150.0	11051150.0	11051150.0	19.0	16.0	19.0	16.0	11051150.0	11051150.0	19.0	16.0
MSM9VZHT	7554970.0	7554970.0	7554970.0	7554970.0	NA	NA	7554786.0	7554786.0	7554786.0	7554786.0	5.0	3.0	5.0	3.0	7554786.0	7554786.0	5.0	3.0
MSM9VZHX	14400785.0	14400785.0	14400785.0	14400785.0	NA	NA	14400674.0	14400674.0	14400674.0	14400674.0	2.0	9.0	2.0	9.0	14400674.0	14400674.0	2.0	9.0
MSM9VZHZ	7008926.0	7008926.0	7008926.0	7008926.0	NA	NA	7007586.0	7007586.0	7007586.0	7007586.0	38.0	43.0	38.0	43.0	7007586.0	7007586.0	38.0	43.0
MSM9VZI2	13082252.0	13082252.0	13082252.0	13082252.0	NA	NA	13081934.0	13081934.0	13081934.0	13081934.0	8.0	13.0	8.0	13.0	13081934.0	13081934.0	8.0	13.0
